단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
31236978,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31236980,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31237740,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31237749,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31237757,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31237758,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31237762,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31237765,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31238742,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31238748,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31238752,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31238756,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31239678,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31239681,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31239684,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31239686,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31240270,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31240274,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31241669,매입임대,LH대전충남,매입다가구(충남천안시),오피스텔,충청남도 천안시 서북구 공원로 120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
