hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,임대종류,준공일자,주택유형,건물형태,난방방식,승강기설치여부,공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금,x,y
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,30.11,13.41,23100000,131500,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,40.28,17.47,30740000,175000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,41.95,21.49,30550000,174000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,50.24,21.6,38280000,218000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.9,22.18,40610000,233200,0,37.4779687,126.9435263
31343518,2,B551452,Off,C,서울특별시 중랑구 동일로91길 23,11,아파트,면목라온프라이빗(면목5),1.12601010011544e+18,60,동일로91길23,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2020-06-30,아파트,계단식,개별난방,전체동 설치,59.98,24.77,116000000,426000,0,37.5819477,127.0785833
31343518,2,B551452,Off,C,서울특별시 중랑구 동일로91길 23,11,아파트,면목라온프라이빗(면목5),1.12601010011544e+18,60,동일로91길23,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2020-06-30,아파트,계단식,개별난방,전체동 설치,50.73,19.16,98400000,360000,0,37.5819477,127.0785833
31343518,2,B551452,Off,C,서울특별시 중랑구 동일로91길 23,11,아파트,면목라온프라이빗(면목5),1.12601010011544e+18,60,동일로91길23,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2020-06-30,아파트,계단식,개별난방,전체동 설치,59.98,23.5,116000000,426000,0,37.5819477,127.0785833
31343518,2,B551452,Off,C,서울특별시 중랑구 동일로91길 23,11,아파트,면목라온프라이빗(면목5),1.12601010011544e+18,60,동일로91길23,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2020-06-30,아파트,계단식,개별난방,전체동 설치,59.98,24.98,116000000,426000,0,37.5819477,127.0785833
31343518,2,B551452,Off,C,서울특별시 중랑구 동일로91길 23,11,아파트,면목라온프라이빗(면목5),1.12601010011544e+18,60,동일로91길23,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2020-06-30,아파트,계단식,개별난방,전체동 설치,59.96,22.74,116000000,426000,0,37.5819477,127.0785833
30582338,2,B551452,Off,C,서울특별시 구로구 천왕로 29,11,아파트,천왕이펜하우스4단지,1.15301110010027e+18,216,천왕로29,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-07-15,아파트,혼합식,개별가스난방,전체동 설치,59.95,24.16,53550000,348100,0,37.4801943,126.8387312
30582338,2,B551452,Off,C,서울특별시 구로구 천왕로 29,11,아파트,천왕이펜하우스4단지,1.15301110010027e+18,216,천왕로29,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-07-15,아파트,혼합식,개별가스난방,전체동 설치,49.58,25.34,42890000,298500,0,37.4801943,126.8387312
30582338,2,B551452,Off,C,서울특별시 구로구 천왕로 29,11,아파트,천왕이펜하우스4단지,1.15301110010027e+18,150,천왕로29,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-07-15,아파트,혼합식,개별가스난방,전체동 설치,84.95,24.39,296250000,0,0,37.4801943,126.8387312
30582338,2,B551452,Off,C,서울특별시 구로구 천왕로 29,11,아파트,천왕이펜하우스4단지,1.15301110010027e+18,150,천왕로29,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-07-15,아파트,혼합식,개별가스난방,전체동 설치,59.95,24.16,114250000,0,0,37.4801943,126.8387312
30582338,2,B551452,Off,C,서울특별시 구로구 천왕로 29,11,아파트,천왕이펜하우스4단지,1.15301110010027e+18,150,천왕로29,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-07-15,아파트,혼합식,개별가스난방,전체동 설치,59.95,24.16,131650000,0,0,37.4801943,126.8387312
30582340,2,B551452,Off,C,서울특별시 구로구 천왕로 9,11,아파트,천왕이펜하우스6단지,1.15301110010027e+18,181,천왕로9,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-05-26,아파트,혼합식,개별가스난방,전체동 설치,59.96,23.92,52530000,344600,0,37.4783405,126.8410510
30582340,2,B551452,Off,C,서울특별시 구로구 천왕로 9,11,아파트,천왕이펜하우스6단지,1.15301110010027e+18,181,천왕로9,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-05-26,아파트,혼합식,개별가스난방,전체동 설치,49.58,23.05,45030000,313400,0,37.4783405,126.8410510
30582340,2,B551452,Off,C,서울특별시 구로구 천왕로 9,11,아파트,천왕이펜하우스6단지,1.15301110010027e+18,181,천왕로9,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-05-26,아파트,혼합식,개별가스난방,전체동 설치,59.95,23.56,52530000,344600,0,37.4783405,126.8410510
30582340,2,B551452,Off,C,서울특별시 구로구 천왕로 9,11,아파트,천왕이펜하우스6단지,1.15301110010027e+18,321,천왕로9,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-05-26,아파트,혼합식,개별가스난방,전체동 설치,84.95,23.16,292500000,0,0,37.4783405,126.8410510
30582340,2,B551452,Off,C,서울특별시 구로구 천왕로 9,11,아파트,천왕이펜하우스6단지,1.15301110010027e+18,321,천왕로9,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-05-26,아파트,혼합식,개별가스난방,전체동 설치,59.95,23.56,125550000,0,0,37.4783405,126.8410510
