rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
23,31270200,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,전라북도 정읍시,4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
24,31270212,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,매입다가구(전북정읍시),4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
25,31270231,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,전라북도 정읍시,4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
26,31273668,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
27,31270694,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
28,30700285,01,D168483,Off,C,전라북도 익산시 오산면 선화로4길 24-9,11,아파트,장신휴먼시아2단지,4514031022111270000,566,선화로4길24-9,FLE00004996,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.931945005899,35.9493509310601
29,31338568,01,D168483,Off,D,전라북도 전주시 덕진구 석소2길 30,11,아파트,선변오지오아파트,4511311400108690000,1,석소2길30,XXX,05,10년임대,LH전북,http://www.lh.or.kr,Y,127.168831637162,35.8355015097138
30,30699716,01,D168483,Off,D,전라북도 전주시 완산구 흑석로 64,11,아파트,전주신세계블루타운,4511112600109830002,39,흑석로64,FLE00004972,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.150093574111,35.7986932006082
31,30699725,01,D168483,Off,D,전라북도 군산시 옥산면 산성로 194,11,아파트,대상아파트,4513031021107360000,96,산성로194,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.747700642239,35.939050727399
32,30699405,01,D168483,Off,C,전라북도 익산시 선화로1길 57-32,11,아파트,익산배산 휴먼시아5단지,4514011500105770000,648,선화로1길57-32,FLE00010072,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.936093553275,35.9558908900349
33,30700108,01,D168483,Off,C,전라북도 전주시 완산구 덕적골2길 25,11,아파트,평화주공1단지,4511113200104450006,882,덕적골2길25,FLE00004963,01,영구임대,LH전북,http://www.lh.or.kr,Y,127.141080895082,35.7973038732351
34,30700444,01,D168483,Off,C,전라북도 완주군 이서면 갈산1로 12,11,아파트,전북혁신 엘에이치 10단지,4571033024106500000,690,갈산1로12,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.054656164278,35.8345125347315
35,30700111,01,D168483,Off,C,전라북도 전주시 완산구 평화9길 16,11,아파트,평화주공 푸른마을,4511113300109410000,686,평화9길16,FLE00004966,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.136775228074,35.7885034402411
36,30699441,01,D168483,Off,D,전라북도 군산시 대야면 수림로 7-10,11,아파트,대야보라무지개아파트,4513035021105360002,10,수림로7-10,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.821185055189,35.948982862685
37,30700132,01,D168483,Off,C,전라북도 완주군 봉동읍 봉동중앙로 53-20,11,아파트,완주봉동주공1차아파트,4571025329112450000,498,봉동중앙로53-20,FLE00006148,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.15882959659,35.9290452436045
38,30699481,01,D168483,Off,D,전라북도 전주시 완산구 신촌2길 30,11,아파트,화산신동아,4511112800105260037,10,신촌2길30,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.115333439671,35.8144379521061
39,31019718,02,B551971,Off,B,전라북도 전주시 완산구 신촌3길 27-43,11,아파트,효성신촌마을아파트,4511112800104850056,25,신촌3길27-43,XXX,02,국민임대,전북개발공사,http://www.jbdc.co.kr,Y,127.115161467717,35.8158605024538
40,31204120,01,D168483,Off,C,전라북도 전주시 덕진구 혁신로 665,11,아파트,전주반월(2)지구 국민임대,4511312300112360000,546,혁신로665,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.073080448317,35.8713739155869
41,31210177,02,B551971,Off,C,전라북도 장수군 장계면 북동로 61-6,11,아파트,장계 에코르,4574033521103230006,100,북동로61-6,XXX,05,10년임대,전북개발공사,http://www.jbdc.co.kr,Y,127.585402223946,35.7339271600626
42,31270646,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
43,31270649,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
44,31270657,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
45,31270658,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
46,31270674,01,D168483,Off,B,전라북도 전주시 덕진구 백동2길 11,11,아파트,매입다가구(전북전주시),4511310400115610001,1,백동2길11,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.147833996485,35.8462690960599
47,31270675,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
48,31270677,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
49,31270687,01,D168483,Off,B,전라북도 전주시 완산구 구이로 2065,11,아파트,매입다가구(전북전주시),4511113300109520000,1,구이로2065,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.129733667501,35.7822804438789
50,31270688,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,전라북도 전주시,4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
51,31270689,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
52,31270690,01,D168483,Off,B,전라북도 전주시 덕진구 백동2길 11,11,아파트,매입다가구(전북전주시),4511310400115610001,1,백동2길11,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.147833996485,35.8462690960599
53,31270691,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,전라북도 전주시,4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
54,31270698,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
55,31270705,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,매입다가구(전북전주시),4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
56,31270706,01,D168483,Off,B,전라북도 전주시 덕진구 하가로 10,11,아파트,매입다가구(전북전주시),4511310600107270000,1,하가로10,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.111927360931,35.8431173109677
57,31270713,01,D168483,Off,B,전라북도 전주시 덕진구 태진로 125-30,11,아파트,전라북도 전주시,4511310700116390001,1,태진로125-30,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.133907709631,35.8332959666461
58,31270718,01,D168483,Off,B,전라북도 전주시 덕진구 하가로 10,11,아파트,매입다가구(전북전주시),4511310600107270000,1,하가로10,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.111927360931,35.8431173109677
59,31270732,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
